date,datatype,station,attributes,value
2018-09-01T00:00:00,TAVG,GHCND:AQW00061705,",W",27.44
2018-09-01T00:00:00,TMAX,GHCND:AQW00061705,",,,W",29.76
2018-09-01T00:00:00,TMIN,GHCND:AQW00061705,",,,W",25.11
2018-09-01T00:00:00,TAVG,GHCND:CA001018611,",C",14.28
2018-09-01T00:00:00,TMAX,GHCND:CA001018611,",,,C",17.66
2018-09-01T00:00:00,TMIN,GHCND:CA001018611,",,,C",10.9
2018-09-01T00:00:00,TAVG,GHCND:CA001135126,",C",13.38
2018-09-01T00:00:00,TMAX,GHCND:CA001135126,",,,C",22.53
2018-09-01T00:00:00,TMIN,GHCND:CA001135126,",,,C",4.22
2018-09-01T00:00:00,TAVG,GHCND:CA005020881,",C",11.58
2018-09-01T00:00:00,TMAX,GHCND:CA005020881,",,,C",17.77
2018-09-01T00:00:00,TMIN,GHCND:CA005020881,",,,C",5.38
2018-09-01T00:00:00,TAVG,GHCND:CA006020559,",C",13.08
2018-09-01T00:00:00,TMAX,GHCND:CA006020559,",,,C",18.18
2018-09-01T00:00:00,TMIN,GHCND:CA006020559,",,,C",7.97
2018-09-01T00:00:00,TMAX,GHCND:CQC00914080,",,,7",30.34
2018-09-01T00:00:00,TAVG,GHCND:CQC00914801,",7",26.16
2018-09-01T00:00:00,TMAX,GHCND:CQC00914801,",,,7",28.51
2018-09-01T00:00:00,TMIN,GHCND:CQC00914801,",,,7",23.81
2018-09-01T00:00:00,TAVG,GHCND:CQC00914855,",W",27.55
2018-09-01T00:00:00,TMAX,GHCND:CQC00914855,",,,W",30.05
2018-09-01T00:00:00,TMIN,GHCND:CQC00914855,",,,W",25.06
2018-09-01T00:00:00,TAVG,GHCND:GQW00041415,",W",28.25
2018-09-01T00:00:00,TMAX,GHCND:GQW00041415,",,,W",31.11
2018-09-01T00:00:00,TMIN,GHCND:GQW00041415,",,,W",25.4
2018-09-01T00:00:00,TAVG,GHCND:RQC00660061,",7",23.42
2018-09-01T00:00:00,TMAX,GHCND:RQC00660061,",,,7",29.19
2018-09-01T00:00:00,TMIN,GHCND:RQC00660061,",,,7",17.66
2018-09-01T00:00:00,TAVG,GHCND:RQC00660158,"1,7",23.41
2018-09-01T00:00:00,TMAX,GHCND:RQC00660158,"1,,,7",27.12
2018-09-01T00:00:00,TMIN,GHCND:RQC00660158,"1,,,7",19.7
2018-09-01T00:00:00,TAVG,GHCND:RQC00662633,",7",26.07
2018-09-01T00:00:00,TMAX,GHCND:RQC00662633,",,,7",30.13
2018-09-01T00:00:00,TMIN,GHCND:RQC00662633,",,,7",22.0
2018-09-01T00:00:00,TAVG,GHCND:RQC00662801,",7",26.92
2018-09-01T00:00:00,TMAX,GHCND:RQC00662801,",,,7",31.31
2018-09-01T00:00:00,TMIN,GHCND:RQC00662801,",,,7",22.52
2018-09-01T00:00:00,TAVG,GHCND:RQC00663431,"1,7",26.76
2018-09-01T00:00:00,TMAX,GHCND:RQC00663431,",,,7",32.02
2018-09-01T00:00:00,TMIN,GHCND:RQC00663431,"1,,,7",21.5
2018-09-01T00:00:00,TAVG,GHCND:RQC00664614,",7",27.5
2018-09-01T00:00:00,TMAX,GHCND:RQC00664614,",,,7",30.88
2018-09-01T00:00:00,TMIN,GHCND:RQC00664614,",,,7",24.12
2018-09-01T00:00:00,TAVG,GHCND:RQC00665064,",7",27.0
2018-09-01T00:00:00,TMAX,GHCND:RQC00665064,",,,7",31.45
2018-09-01T00:00:00,TMIN,GHCND:RQC00665064,",,,7",22.55
2018-09-01T00:00:00,TAVG,GHCND:RQC00665097,",7",27.16
2018-09-01T00:00:00,TMAX,GHCND:RQC00665097,",,,7",32.99
2018-09-01T00:00:00,TMIN,GHCND:RQC00665097,",,,7",21.32
2018-09-01T00:00:00,TAVG,GHCND:RQC00665693,",7",28.37
2018-09-01T00:00:00,TMAX,GHCND:RQC00665693,",,,7",32.17
2018-09-01T00:00:00,TMIN,GHCND:RQC00665693,",,,7",24.57
2018-09-01T00:00:00,TAVG,GHCND:RQC00665807,",7",26.12
2018-09-01T00:00:00,TMAX,GHCND:RQC00665807,",,,7",30.05
2018-09-01T00:00:00,TMIN,GHCND:RQC00665807,",,,7",22.19
2018-09-01T00:00:00,TAVG,GHCND:RQC00665908,"1,7",22.1
2018-09-01T00:00:00,TMAX,GHCND:RQC00665908,"1,,,7",25.76
2018-09-01T00:00:00,TMIN,GHCND:RQC00665908,"1,,,7",18.44
2018-09-01T00:00:00,TAVG,GHCND:RQC00666343,",7",28.43
2018-09-01T00:00:00,TMAX,GHCND:RQC00666343,",,,7",31.55
2018-09-01T00:00:00,TMIN,GHCND:RQC00666343,",,,7",25.32
2018-09-01T00:00:00,TAVG,GHCND:RQC00666725,",7",24.83
2018-09-01T00:00:00,TMAX,GHCND:RQC00666725,",,,7",27.91
2018-09-01T00:00:00,TMIN,GHCND:RQC00666725,",,,7",21.74
2018-09-01T00:00:00,TAVG,GHCND:RQC00666730,",7",26.58
2018-09-01T00:00:00,TMAX,GHCND:RQC00666730,",,,7",30.79
2018-09-01T00:00:00,TMIN,GHCND:RQC00666730,",,,7",22.37
2018-09-01T00:00:00,TAVG,GHCND:RQC00668814,",7",28.08
2018-09-01T00:00:00,TMAX,GHCND:RQC00668814,",,,7",31.4
2018-09-01T00:00:00,TMIN,GHCND:RQC00668814,",,,7",24.77
2018-09-01T00:00:00,TAVG,GHCND:RQC00669415,"4,7",27.6
2018-09-01T00:00:00,TMAX,GHCND:RQC00669415,"4,,,7",31.23
2018-09-01T00:00:00,TMIN,GHCND:RQC00669415,"4,,,7",23.97
2018-09-01T00:00:00,TAVG,GHCND:RQC00669521,"3,7",27.48
2018-09-01T00:00:00,TMAX,GHCND:RQC00669521,"3,,,7",31.77
2018-09-01T00:00:00,TMIN,GHCND:RQC00669521,"3,,,7",23.19
2018-09-01T00:00:00,TAVG,GHCND:RQW00011630,",W",28.33
2018-09-01T00:00:00,TMAX,GHCND:RQW00011630,",,,W",31.35
2018-09-01T00:00:00,TMIN,GHCND:RQW00011630,",,,W",25.31
2018-09-01T00:00:00,TAVG,GHCND:RQW00011641,",W",28.44
2018-09-01T00:00:00,TMAX,GHCND:RQW00011641,",,,W",31.44
2018-09-01T00:00:00,TMIN,GHCND:RQW00011641,",,,W",25.45
2018-09-01T00:00:00,TAVG,GHCND:USC00010063,"3,7",25.22
2018-09-01T00:00:00,TMAX,GHCND:USC00010063,"2,,,7",30.79
2018-09-01T00:00:00,TMIN,GHCND:USC00010063,"3,,,7",19.66
2018-09-01T00:00:00,TAVG,GHCND:USC00010160,"3,7",26.51
2018-09-01T00:00:00,TMAX,GHCND:USC00010160,"3,,,7",32.47
2018-09-01T00:00:00,TMIN,GHCND:USC00010160,"3,,,7",20.56
2018-09-01T00:00:00,TAVG,GHCND:USC00010178,"2,7",26.25
2018-09-01T00:00:00,TMAX,GHCND:USC00010178,",,,7",31.69
2018-09-01T00:00:00,TMIN,GHCND:USC00010178,"2,,,7",20.82
2018-09-01T00:00:00,TAVG,GHCND:USC00010260,",7",25.54
2018-09-01T00:00:00,TMAX,GHCND:USC00010260,",,,7",31.29
2018-09-01T00:00:00,TMIN,GHCND:USC00010260,",,,7",19.79
2018-09-01T00:00:00,TAVG,GHCND:USC00010390,"1,7",26.24
2018-09-01T00:00:00,TMAX,GHCND:USC00010390,",,,7",31.32
2018-09-01T00:00:00,TMIN,GHCND:USC00010390,"1,,,7",21.17
2018-09-01T00:00:00,TAVG,GHCND:USC00010402,"2,7",27.62
2018-09-01T00:00:00,TMAX,GHCND:USC00010402,"2,,,7",32.38
2018-09-01T00:00:00,TMIN,GHCND:USC00010402,"2,,,7",22.86
2018-09-01T00:00:00,TAVG,GHCND:USC00010425,",7",26.51
2018-09-01T00:00:00,TMAX,GHCND:USC00010425,",,,7",31.21
2018-09-01T00:00:00,TMIN,GHCND:USC00010425,",,,7",21.8
2018-09-01T00:00:00,TAVG,GHCND:USC00010505,"4,7",26.6
2018-09-01T00:00:00,TMAX,GHCND:USC00010505,"4,,,7",31.7
2018-09-01T00:00:00,TMIN,GHCND:USC00010505,"4,,,7",21.5
2018-09-01T00:00:00,TAVG,GHCND:USC00010583,",7",26.68
2018-09-01T00:00:00,TMAX,GHCND:USC00010583,",,,7",30.71
2018-09-01T00:00:00,TMIN,GHCND:USC00010583,",,,7",22.65
2018-09-01T00:00:00,TAVG,GHCND:USC00010655,",7",24.97
2018-09-01T00:00:00,TMAX,GHCND:USC00010655,",,,7",30.49
2018-09-01T00:00:00,TMIN,GHCND:USC00010655,",,,7",19.45
2018-09-01T00:00:00,TAVG,GHCND:USC00010764,"1,7",27.2
2018-09-01T00:00:00,TMAX,GHCND:USC00010764,"1,,,7",32.79
2018-09-01T00:00:00,TMIN,GHCND:USC00010764,"1,,,7",21.61
2018-09-01T00:00:00,TAVG,GHCND:USC00011080,",7",26.8
2018-09-01T00:00:00,TMAX,GHCND:USC00011080,",,,7",31.7
2018-09-01T00:00:00,TMIN,GHCND:USC00011080,",,,7",21.89
2018-09-01T00:00:00,TAVG,GHCND:USC00011099,"1,7",24.42
2018-09-01T00:00:00,TMAX,GHCND:USC00011099,"1,,,7",29.32
2018-09-01T00:00:00,TMIN,GHCND:USC00011099,"1,,,7",19.52
2018-09-01T00:00:00,TAVG,GHCND:USC00011566,"1,7",26.35
2018-09-01T00:00:00,TMAX,GHCND:USC00011566,"1,,,7",31.91
2018-09-01T00:00:00,TMIN,GHCND:USC00011566,"1,,,7",20.79
2018-09-01T00:00:00,TAVG,GHCND:USC00011620,",7",27.43
2018-09-01T00:00:00,TMAX,GHCND:USC00011620,",,,7",33.65
2018-09-01T00:00:00,TMIN,GHCND:USC00011620,",,,7",21.21
2018-09-01T00:00:00,TAVG,GHCND:USC00011694,"1,7",26.5
2018-09-01T00:00:00,TMAX,GHCND:USC00011694,"1,,,7",32.13
2018-09-01T00:00:00,TMIN,GHCND:USC00011694,"1,,,7",20.87
2018-09-01T00:00:00,TAVG,GHCND:USC00011725,"2,7",26.93
2018-09-01T00:00:00,TMAX,GHCND:USC00011725,"2,,,7",32.58
2018-09-01T00:00:00,TMIN,GHCND:USC00011725,"2,,,7",21.28
2018-09-01T00:00:00,TAVG,GHCND:USC00012172,",7",28.09
2018-09-01T00:00:00,TMAX,GHCND:USC00012172,",,,7",30.47
2018-09-01T00:00:00,TMIN,GHCND:USC00012172,",,,7",25.7
2018-09-01T00:00:00,TMIN,GHCND:USC00012209,"5,,,7",21.07
2018-09-01T00:00:00,TAVG,GHCND:USC00012245,"5,7",26.92
2018-09-01T00:00:00,TMAX,GHCND:USC00012245,"5,,,7",32.22
2018-09-01T00:00:00,TMIN,GHCND:USC00012245,"5,,,7",21.62
2018-09-01T00:00:00,TAVG,GHCND:USC00012730,",7",28.26
2018-09-01T00:00:00,TMAX,GHCND:USC00012730,",,,7",34.98
2018-09-01T00:00:00,TMIN,GHCND:USC00012730,",,,7",21.54
2018-09-01T00:00:00,TAVG,GHCND:USC00012813,",7",26.35
